timestamp,RAM_Usage_In_Percentage,CPU_Usage_In_Percentage,DISK_Usage_In_Percantage
Fri 21 Jan 2022 13:45:49 +0000,54.6,4.8,17.9
Fri 21 Jan 2022 13:45:59 +0000,54.6,8.0,17.9
Fri 21 Jan 2022 13:46:09 +0000,54.6,5.0,17.9
Fri 21 Jan 2022 13:46:19 +0000,54.6,4.9,17.9
Fri 21 Jan 2022 13:46:29 +0000,54.6,5.1,17.9
Fri 21 Jan 2022 13:46:39 +0000,54.6,5.3,17.9
Fri 21 Jan 2022 13:46:49 +0000,54.6,4.8,17.9
Fri 21 Jan 2022 13:46:59 +0000,54.6,6.4,17.9
Fri 21 Jan 2022 13:47:09 +0000,54.6,8.5,17.9
Fri 21 Jan 2022 13:47:19 +0000,54.6,4.6,17.9
Fri 21 Jan 2022 13:47:29 +0000,54.6,5.1,17.9
Fri 21 Jan 2022 13:47:39 +0000,54.6,5.7,17.9
Fri 21 Jan 2022 13:47:49 +0000,54.6,4.7,17.9
Fri 21 Jan 2022 13:47:59 +0000,54.6,7.1,17.9
Fri 21 Jan 2022 13:48:09 +0000,54.6,6.6,17.9
Fri 21 Jan 2022 13:48:19 +0000,54.6,4.7,17.9
Fri 21 Jan 2022 13:48:29 +0000,54.6,7.2,17.9
Fri 21 Jan 2022 13:48:39 +0000,54.6,5.1,17.9
Fri 21 Jan 2022 13:48:49 +0000,54.6,4.8,17.9
Fri 21 Jan 2022 13:48:59 +0000,54.6,6.2,17.9
Fri 21 Jan 2022 13:49:09 +0000,54.6,6.5,17.9
Fri 21 Jan 2022 13:49:19 +0000,54.6,5.0,17.9
Fri 21 Jan 2022 13:49:29 +0000,54.6,5.0,17.9
Fri 21 Jan 2022 13:49:39 +0000,54.6,5.2,17.9
Fri 21 Jan 2022 13:49:49 +0000,54.6,6.7,17.9
Fri 21 Jan 2022 13:49:59 +0000,54.6,6.6,17.9
Fri 21 Jan 2022 13:50:09 +0000,54.6,6.7,17.9
Fri 21 Jan 2022 13:50:19 +0000,54.6,4.9,17.9
Fri 21 Jan 2022 13:50:29 +0000,54.6,4.7,17.9
Fri 21 Jan 2022 13:50:39 +0000,54.6,6.4,17.9
Fri 21 Jan 2022 13:50:49 +0000,54.6,4.7,17.9
Fri 21 Jan 2022 13:50:59 +0000,54.6,6.5,17.9
Fri 21 Jan 2022 13:51:09 +0000,54.6,8.4,17.9
Fri 21 Jan 2022 13:51:19 +0000,54.6,4.7,17.9
Fri 21 Jan 2022 13:51:29 +0000,54.6,5.8,17.9
Fri 21 Jan 2022 13:51:39 +0000,54.6,6.2,17.9
Fri 21 Jan 2022 13:51:49 +0000,54.6,5.0,17.9
Fri 21 Jan 2022 13:51:59 +0000,54.6,6.9,17.9
Fri 21 Jan 2022 13:52:09 +0000,54.6,5.0,17.9
