timestamp,RAM_Usage_In_Percentage,CPU_Usage_In_Percentage,DISK_Usage_In_Percantage
Fri 21 Jan 2022 13:28:09 +0000,54.9,5.3,17.8
Fri 21 Jan 2022 13:28:19 +0000,54.9,7.2,17.8
Fri 21 Jan 2022 13:28:29 +0000,54.9,5.4,17.8
Fri 21 Jan 2022 13:28:39 +0000,54.9,5.5,17.8
Fri 21 Jan 2022 13:28:49 +0000,54.9,5.3,17.8
Fri 21 Jan 2022 13:28:59 +0000,54.9,5.9,17.8
Fri 21 Jan 2022 13:29:09 +0000,54.9,5.5,17.8
Fri 21 Jan 2022 13:29:19 +0000,54.9,8.3,17.8
Fri 21 Jan 2022 13:29:29 +0000,54.9,5.4,17.8
Fri 21 Jan 2022 13:29:39 +0000,54.9,6.5,17.8
Fri 21 Jan 2022 13:29:49 +0000,54.9,6.0,17.8
Fri 21 Jan 2022 13:29:59 +0000,54.9,6.7,17.8
Fri 21 Jan 2022 13:30:09 +0000,54.9,5.7,17.8
Fri 21 Jan 2022 13:30:19 +0000,54.9,6.8,17.8
Fri 21 Jan 2022 13:30:29 +0000,54.9,6.6,17.8
Fri 21 Jan 2022 13:30:39 +0000,54.9,6.7,17.8
Fri 21 Jan 2022 13:30:49 +0000,54.9,5.6,17.8
Fri 21 Jan 2022 13:30:59 +0000,54.9,6.1,17.8
Fri 21 Jan 2022 13:31:09 +0000,54.9,5.4,17.8
Fri 21 Jan 2022 13:31:19 +0000,54.9,5.6,17.8
Fri 21 Jan 2022 13:31:29 +0000,54.9,6.8,17.8
Fri 21 Jan 2022 13:31:39 +0000,54.9,5.6,17.8
Fri 21 Jan 2022 13:31:49 +0000,54.9,5.6,17.8
Fri 21 Jan 2022 13:31:59 +0000,54.9,7.5,17.8
Fri 21 Jan 2022 13:32:09 +0000,54.9,6.2,17.8
Fri 21 Jan 2022 13:32:19 +0000,54.9,5.8,17.8
Fri 21 Jan 2022 13:32:29 +0000,54.9,6.9,17.8
Fri 21 Jan 2022 13:32:39 +0000,54.9,5.6,17.8
Fri 21 Jan 2022 13:32:49 +0000,54.9,6.4,17.8
Fri 21 Jan 2022 13:32:59 +0000,54.9,6.5,17.8
Fri 21 Jan 2022 13:33:09 +0000,54.9,5.5,17.8
Fri 21 Jan 2022 13:33:19 +0000,54.9,6.2,17.8
Fri 21 Jan 2022 13:33:29 +0000,54.9,7.5,17.8
Fri 21 Jan 2022 13:33:39 +0000,54.9,5.8,17.8
Fri 21 Jan 2022 13:33:49 +0000,54.9,5.4,17.8
Fri 21 Jan 2022 13:33:59 +0000,54.9,6.5,17.8
Fri 21 Jan 2022 13:34:09 +0000,54.9,5.7,17.8
Fri 21 Jan 2022 13:34:19 +0000,54.9,5.9,17.8
Fri 21 Jan 2022 13:34:29 +0000,54.9,7.7,17.8
Fri 21 Jan 2022 13:34:39 +0000,54.9,5.7,17.8
Fri 21 Jan 2022 13:34:49 +0000,54.9,6.2,17.8
Fri 21 Jan 2022 13:34:59 +0000,54.9,6.7,17.8
Fri 21 Jan 2022 13:35:09 +0000,54.9,6.6,17.8
Fri 21 Jan 2022 13:35:19 +0000,54.9,6.8,17.8
Fri 21 Jan 2022 13:35:29 +0000,54.9,5.5,17.8
Fri 21 Jan 2022 13:35:39 +0000,54.9,7.1,17.8
Fri 21 Jan 2022 13:35:49 +0000,54.9,5.4,17.8
Fri 21 Jan 2022 13:35:59 +0000,54.9,6.7,17.8
Fri 21 Jan 2022 13:36:09 +0000,54.9,5.3,17.8
Fri 21 Jan 2022 13:36:19 +0000,54.9,5.7,17.8
Fri 21 Jan 2022 13:36:29 +0000,54.9,5.3,17.8
Fri 21 Jan 2022 13:36:39 +0000,54.9,7.7,17.8
Fri 21 Jan 2022 13:36:49 +0000,54.9,5.6,17.8
