timestamp,RAM_Usage_In_Percentage,CPU_Usage_In_Percentage,DISK_Usage_In_Percantage
Fri 21 Jan 2022 13:28:16 +0000,54.9,5.1,17.8
Fri 21 Jan 2022 13:28:26 +0000,54.9,5.6,17.8
Fri 21 Jan 2022 13:28:36 +0000,54.9,5.3,17.8
Fri 21 Jan 2022 13:28:46 +0000,54.9,6.7,17.8
Fri 21 Jan 2022 13:28:56 +0000,54.9,5.5,17.8
Fri 21 Jan 2022 13:29:06 +0000,54.9,5.3,17.8
Fri 21 Jan 2022 13:29:16 +0000,54.9,6.6,17.8
Fri 21 Jan 2022 13:29:26 +0000,54.9,5.9,17.8
Fri 21 Jan 2022 13:29:36 +0000,54.9,5.9,17.8
Fri 21 Jan 2022 13:29:46 +0000,54.9,6.9,17.8
Fri 21 Jan 2022 13:29:56 +0000,54.9,6.8,17.8
Fri 21 Jan 2022 13:30:06 +0000,54.9,5.4,17.8
Fri 21 Jan 2022 13:30:16 +0000,54.9,5.9,17.8
Fri 21 Jan 2022 13:30:26 +0000,54.9,5.9,17.8
Fri 21 Jan 2022 13:30:36 +0000,54.9,5.9,17.8
Fri 21 Jan 2022 13:30:46 +0000,54.9,6.6,17.8
Fri 21 Jan 2022 13:30:56 +0000,54.9,6.4,17.8
Fri 21 Jan 2022 13:31:06 +0000,54.9,5.3,17.8
Fri 21 Jan 2022 13:31:16 +0000,54.9,6.2,17.8
Fri 21 Jan 2022 13:31:26 +0000,54.9,5.9,17.8
Fri 21 Jan 2022 13:31:36 +0000,54.9,5.6,17.8
Fri 21 Jan 2022 13:31:46 +0000,54.9,7.0,17.8
Fri 21 Jan 2022 13:31:56 +0000,54.9,6.8,17.8
Fri 21 Jan 2022 13:32:06 +0000,54.9,6.2,17.8
Fri 21 Jan 2022 13:32:16 +0000,54.9,5.0,17.8
Fri 21 Jan 2022 13:32:26 +0000,54.9,5.4,17.8
Fri 21 Jan 2022 13:32:36 +0000,54.9,5.4,17.8
Fri 21 Jan 2022 13:32:46 +0000,54.9,5.7,17.8
Fri 21 Jan 2022 13:32:56 +0000,54.9,7.0,17.8
Fri 21 Jan 2022 13:33:06 +0000,54.9,5.1,17.8
Fri 21 Jan 2022 13:33:16 +0000,54.9,5.9,17.8
Fri 21 Jan 2022 13:33:26 +0000,54.9,6.0,17.8
Fri 21 Jan 2022 13:33:36 +0000,54.9,5.4,17.8
Fri 21 Jan 2022 13:33:46 +0000,54.9,5.0,17.8
Fri 21 Jan 2022 13:33:56 +0000,54.9,7.9,17.8
Fri 21 Jan 2022 13:34:06 +0000,54.9,5.2,17.8
Fri 21 Jan 2022 13:34:16 +0000,54.9,5.4,17.8
Fri 21 Jan 2022 13:34:26 +0000,54.9,5.7,17.8
Fri 21 Jan 2022 13:34:36 +0000,54.9,5.3,17.8
Fri 21 Jan 2022 13:34:46 +0000,54.9,6.3,17.8
Fri 21 Jan 2022 13:34:56 +0000,54.9,7.8,17.8
Fri 21 Jan 2022 13:35:06 +0000,54.9,5.8,17.8
Fri 21 Jan 2022 13:35:16 +0000,54.9,5.2,17.8
Fri 21 Jan 2022 13:35:26 +0000,54.9,5.4,17.8
Fri 21 Jan 2022 13:35:36 +0000,54.9,4.7,17.8
Fri 21 Jan 2022 13:35:46 +0000,54.9,5.2,17.8
Fri 21 Jan 2022 13:35:56 +0000,54.9,7.9,17.8
Fri 21 Jan 2022 13:36:06 +0000,54.9,5.5,17.8
Fri 21 Jan 2022 13:36:16 +0000,54.9,4.9,17.8
Fri 21 Jan 2022 13:36:26 +0000,54.9,5.5,17.8
Fri 21 Jan 2022 13:36:36 +0000,54.9,5.4,17.8
Fri 21 Jan 2022 13:36:46 +0000,54.9,5.4,17.8
Fri 21 Jan 2022 13:36:56 +0000,54.9,7.8,17.8
Fri 21 Jan 2022 13:37:06 +0000,54.9,5.4,17.8
Fri 21 Jan 2022 13:37:16 +0000,54.9,5.3,17.8
Fri 21 Jan 2022 13:37:26 +0000,54.9,5.3,17.8
Fri 21 Jan 2022 13:37:36 +0000,54.9,5.7,17.8
Fri 21 Jan 2022 13:37:46 +0000,54.9,5.0,17.8
Fri 21 Jan 2022 13:37:56 +0000,54.9,6.6,17.8
Fri 21 Jan 2022 13:38:06 +0000,54.9,6.9,17.8
Fri 21 Jan 2022 13:38:16 +0000,54.9,5.1,17.8
Fri 21 Jan 2022 13:38:26 +0000,54.9,6.2,17.8
Fri 21 Jan 2022 13:38:36 +0000,54.9,5.3,17.8
