timestamp,RAM_Usage_In_Percentage,CPU_Usage_In_Percentage,DISK_Usage_In_Percantage
Fri 21 Jan 2022 13:30:28 +0000,54.1,4.8,17.8
Fri 21 Jan 2022 13:30:38 +0000,54.1,5.0,17.8
Fri 21 Jan 2022 13:30:48 +0000,54.1,4.9,17.8
Fri 21 Jan 2022 13:30:58 +0000,54.1,6.5,17.8
Fri 21 Jan 2022 13:31:08 +0000,54.1,6.5,17.8
Fri 21 Jan 2022 13:31:18 +0000,54.1,5.0,17.8
Fri 21 Jan 2022 13:31:28 +0000,54.1,4.7,17.8
Fri 21 Jan 2022 13:31:38 +0000,54.1,5.1,17.8
Fri 21 Jan 2022 13:31:48 +0000,54.1,4.8,17.8
Fri 21 Jan 2022 13:31:58 +0000,54.1,7.0,17.8
Fri 21 Jan 2022 13:32:08 +0000,54.1,6.6,17.8
Fri 21 Jan 2022 13:32:18 +0000,54.1,5.1,17.8
Fri 21 Jan 2022 13:32:28 +0000,54.1,5.5,17.8
Fri 21 Jan 2022 13:32:38 +0000,54.1,5.1,17.8
Fri 21 Jan 2022 13:32:48 +0000,54.1,5.0,17.8
Fri 21 Jan 2022 13:32:58 +0000,54.1,6.4,17.8
Fri 21 Jan 2022 13:33:08 +0000,54.1,6.4,17.8
Fri 21 Jan 2022 13:33:18 +0000,54.1,4.8,17.8
Fri 21 Jan 2022 13:33:28 +0000,54.1,4.9,17.8
Fri 21 Jan 2022 13:33:38 +0000,54.1,5.1,17.8
Fri 21 Jan 2022 13:33:48 +0000,54.1,5.7,17.8
Fri 21 Jan 2022 13:33:58 +0000,54.1,6.5,17.8
Fri 21 Jan 2022 13:34:08 +0000,54.1,6.7,17.8
Fri 21 Jan 2022 13:34:18 +0000,54.1,5.0,17.8
Fri 21 Jan 2022 13:34:28 +0000,54.1,5.0,17.8
Fri 21 Jan 2022 13:34:39 +0000,54.1,5.2,17.8
Fri 21 Jan 2022 13:34:49 +0000,54.1,5.0,17.8
Fri 21 Jan 2022 13:34:59 +0000,54.1,6.1,17.8
Fri 21 Jan 2022 13:35:09 +0000,54.1,6.2,17.8
Fri 21 Jan 2022 13:35:19 +0000,54.2,5.6,17.8
Fri 21 Jan 2022 13:35:29 +0000,54.1,5.4,17.8
Fri 21 Jan 2022 13:35:39 +0000,54.1,5.3,17.8
Fri 21 Jan 2022 13:35:49 +0000,54.1,5.0,17.8
Fri 21 Jan 2022 13:35:59 +0000,54.1,6.9,17.8
Fri 21 Jan 2022 13:36:09 +0000,54.1,5.3,17.8
Fri 21 Jan 2022 13:36:19 +0000,54.1,6.4,17.8
Fri 21 Jan 2022 13:36:29 +0000,54.1,4.7,17.8
Fri 21 Jan 2022 13:36:39 +0000,54.1,5.1,17.8
Fri 21 Jan 2022 13:36:49 +0000,54.1,4.9,17.8
Fri 21 Jan 2022 13:36:59 +0000,54.1,6.6,17.8
Fri 21 Jan 2022 13:37:09 +0000,54.1,5.4,17.8
Fri 21 Jan 2022 13:37:19 +0000,54.1,6.4,17.8
Fri 21 Jan 2022 13:37:29 +0000,54.1,4.7,17.8
Fri 21 Jan 2022 13:37:39 +0000,54.1,5.1,17.8
Fri 21 Jan 2022 13:37:49 +0000,54.1,6.2,17.8
Fri 21 Jan 2022 13:37:59 +0000,54.1,6.8,17.8
Fri 21 Jan 2022 13:38:09 +0000,54.1,5.0,17.8
Fri 21 Jan 2022 13:38:19 +0000,54.1,6.2,17.8
Fri 21 Jan 2022 13:38:29 +0000,54.1,4.9,17.8
Fri 21 Jan 2022 13:38:39 +0000,54.1,5.0,17.8
Fri 21 Jan 2022 13:38:49 +0000,54.1,5.9,17.8
Fri 21 Jan 2022 13:38:59 +0000,54.2,7.2,17.8
Fri 21 Jan 2022 13:39:09 +0000,54.1,5.3,17.8
Fri 21 Jan 2022 13:39:19 +0000,54.1,6.8,17.8
Fri 21 Jan 2022 13:39:29 +0000,54.1,4.9,17.8
Fri 21 Jan 2022 13:39:39 +0000,54.1,5.3,17.8
Fri 21 Jan 2022 13:39:49 +0000,54.1,4.9,17.8
Fri 21 Jan 2022 13:39:59 +0000,54.1,6.5,17.8
Fri 21 Jan 2022 13:40:09 +0000,54.1,5.7,17.8
Fri 21 Jan 2022 13:40:19 +0000,54.1,6.5,17.8
Fri 21 Jan 2022 13:40:29 +0000,54.1,5.1,17.8
Fri 21 Jan 2022 13:40:39 +0000,54.1,5.2,17.8
Fri 21 Jan 2022 13:40:49 +0000,54.1,5.1,17.8
Fri 21 Jan 2022 13:40:59 +0000,54.1,6.4,17.8
Fri 21 Jan 2022 13:41:09 +0000,54.1,5.2,17.8
Fri 21 Jan 2022 13:41:19 +0000,54.1,4.8,17.8
Fri 21 Jan 2022 13:41:29 +0000,54.1,6.2,17.8
Fri 21 Jan 2022 13:41:39 +0000,54.1,5.6,17.8
Fri 21 Jan 2022 13:41:49 +0000,54.1,5.0,17.8
Fri 21 Jan 2022 13:41:59 +0000,54.1,7.0,17.8
Fri 21 Jan 2022 13:42:09 +0000,54.1,5.5,17.8
Fri 21 Jan 2022 13:42:19 +0000,54.1,5.0,17.8
Fri 21 Jan 2022 13:42:29 +0000,54.1,6.3,17.8
Fri 21 Jan 2022 13:42:39 +0000,54.1,4.9,17.8
Fri 21 Jan 2022 13:42:49 +0000,54.1,5.2,17.8
Fri 21 Jan 2022 13:42:59 +0000,54.1,6.6,17.8
Fri 21 Jan 2022 13:43:09 +0000,54.1,5.6,17.8
Fri 21 Jan 2022 13:43:19 +0000,54.1,4.9,17.8
Fri 21 Jan 2022 13:43:29 +0000,54.1,6.1,17.8
Fri 21 Jan 2022 13:43:39 +0000,54.1,5.3,17.8
Fri 21 Jan 2022 13:43:49 +0000,54.1,5.0,17.8
Fri 21 Jan 2022 13:43:59 +0000,54.1,6.5,17.8
Fri 21 Jan 2022 13:44:09 +0000,54.1,5.5,17.8
Fri 21 Jan 2022 13:44:19 +0000,54.1,5.3,17.8
Fri 21 Jan 2022 13:44:29 +0000,54.1,6.8,17.8
Fri 21 Jan 2022 13:44:39 +0000,54.1,4.7,17.8
Fri 21 Jan 2022 13:44:49 +0000,54.1,4.6,17.8
Fri 21 Jan 2022 13:44:59 +0000,54.1,6.4,17.8
Fri 21 Jan 2022 13:45:09 +0000,54.1,5.3,17.8
